,year,title,genre,publisher,plataform,refs
124,2000,The Legend of Zelda: Majora's Mask,Action-adventure,Nintendo,Nintendo 64,13
125,2000,The Sims,Life simulation,Electronic Arts,PC,17
126,2000,Thief II: The Metal Age,Stealth,Eidos Interactive,PC,13
127,2000,Tony Hawk's Pro Skater 2,Sports,Activision,PlayStation,13
128,2001,Advance Wars,Turn-based tactics,Nintendo,Game Boy Advance,17
129,2001,Animal Crossing,Life simulation,Nintendo,GameCube,8
130,2001,Devil May Cry,Action-adventure,Capcom,PlayStation 2,6
131,2001,Final Fantasy X,Role-playing,Square,PlayStation 2,13
132,2001,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,PlayStation 2,15
133,2001,Grand Theft Auto III,Action-adventure,Rockstar Games,PlayStation 2,16
134,2001,Halo: Combat Evolved,First-person shooter,Microsoft Game Studios,Xbox,23
135,2001,Ico,Action-adventure,Sony Computer Entertainment,PlayStation 2,23
136,2001,Ikaruga,Shoot 'em up,Treasure,Arcade,9
137,2001,Max Payne,Third-person shooter,Gathering of Developers,PC,10
138,2001,Metal Gear Solid 2: Sons of Liberty,Stealth,Konami,PlayStation 2,11
139,2001,Rez,Shoot 'em up,Sega,"Dreamcast, PlayStation 2",11
140,2001,Silent Hill 2,Survival horror,Konami,PlayStation 2,27
141,2001,Super Smash Bros. Melee,Fighting,Nintendo,GameCube,19
142,2002,The Elder Scrolls III: Morrowind,Action role-playing,Bethesda Softworks,PC,8
143,2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar Games,PlayStation 2,14
144,2002,Kingdom Hearts,Action role-playing,Squaresoft,PlayStation 2,7
145,2002,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo,GameCube,19
146,2002,Metroid Prime,Action-adventure,Nintendo,GameCube,29
147,2002,Soulcalibur II,Fighting,Namco,Arcade,8
148,2003,Beyond Good & Evil,Action-adventure,Ubisoft,PlayStation 2,11
149,2003,Max Payne 2,Third-person shooter,Rockstar Games,PC,7
150,2003,Prince of Persia: The Sands of Time,Action-adventure,Ubisoft,PlayStation 2,20
151,2003,Star Wars: Knights of the Old Republic,Role-playing,LucasArts,Xbox,17
152,2003,"WarioWare, Inc.: Mega Microgames!",Action,Nintendo,Game Boy Advance,8
153,2004,Burnout 3: Takedown,Racing,Electronic Arts,"PlayStation 2, Xbox",13
154,2004,Dragon Quest VIII,Role-playing,Square Enix,PlayStation 2,9
155,2004,Grand Theft Auto: San Andreas,Action-adventure,Rockstar Games,PlayStation 2,16
156,2004,Half-Life 2,First-person shooter,Valve,PC,32
157,2004,Halo 2,First-person shooter,Microsoft Game Studios,Xbox,10
158,2004,Katamari Damacy,Action,Namco,PlayStation 2,13
159,2004,Metal Gear Solid 3: Snake Eater,Stealth,Konami,PlayStation 2,21
160,2004,Rome: Total War,Strategy,Activision,PC,9
